partnerISO,2020,2021,2022,2023,2024
San Marino,2.06,61.63,0.84,1.84,79.91
Sao Tome and Principe,0.73,3.26,4.25,1.49,1.02
Saudi Arabia,11177.09,11138.01,11564.78,13872.81,13176.65
Senegal,280.14,384.35,346.31,344.79,350.87
Serbia,175.0,212.56,272.8,289.42,259.25
Seychelles,17.06,11.36,18.39,31.4,16.53
Sierra Leone,73.83,114.84,106.57,103.86,119.86
Singapore,27050.55,35746.44,46163.16,42433.07,46017.2
Sint Maarten,335.61,364.96,697.47,851.13,753.93
Slovakia,336.57,336.04,375.8,426.82,552.74
Slovenia,307.88,243.02,394.22,368.8,332.2
Solomon Isds,4.67,14.74,10.39,9.61,13.15
Somalia,58.95,52.61,88.1,53.07,49.12
South Africa,4454.74,5501.25,6514.87,7155.08,5818.8
South Sudan,40.24,59.22,41.16,52.06,59.28
Spain,12869.78,16061.64,26479.69,25000.48,23910.02
Sri Lanka,354.15,391.23,337.12,366.22,368.21
State of Palestine,2.3,2.27,14.01,2.02,4.21
Sudan,71.71,141.8,146.74,54.54,56.61
Suriname,267.42,300.58,535.31,482.65,383.54
Sweden,4688.57,5139.61,7667.38,8615.04,8186.98
Switzerland,17975.82,23968.9,36895.59,27872.81,24964.72
Syria,2.13,1.19,8.84,14.07,2.02
Tajikistan,7.56,15.2,123.63,117.88,56.84
Thailand,11169.54,12697.14,15592.5,15653.22,17719.05
Timor-Leste,9.33,11.22,21.38,21.36,19.02
Togo,319.56,221.39,390.35,382.84,283.59
Tokelau,0.09,0.17,0.62,0.3,0.3
Tonga,14.72,18.88,15.71,17.1,19.91
Trinidad and Tobago,2370.08,2741.77,3585.68,2249.98,2939.68
Tunisia,433.88,454.09,552.09,559.37,503.59
Turkmenistan,32.91,79.02,49.12,56.86,82.23
Turks and Caicos Isds,260.06,379.42,568.14,596.05,712.22
Tuvalu,1.68,0.49,0.91,0.32,0.57
Türkiye,10007.52,11894.64,14993.01,14693.84,15292.98
Uganda,95.0,167.62,166.3,122.37,106.29
Ukraine,1840.29,2528.34,1442.37,1048.5,1683.51
United Arab Emirates,14757.89,17078.89,20851.48,24857.04,26969.0
United Kingdom,58975.47,61430.61,77261.01,74054.01,79887.48
United Rep. of Tanzania,245.76,280.42,260.09,424.88,573.38
Uruguay,1249.98,1797.37,2864.78,1878.74,1649.0
Uzbekistan,180.94,401.63,272.67,367.84,380.8
Vanuatu,7.01,4.45,14.43,13.42,7.6
Venezuela,1131.39,1652.71,2266.45,2501.34,4232.02
Viet Nam,9989.33,10947.24,11398.11,9811.56,13098.16
Wallis and Futuna Isds,0.16,0.03,0.09,1.84,0.05
Western Sahara,6.82,0.0,0.0,0.0,0.0
Yemen,331.13,271.8,382.0,178.79,134.1
Zambia,71.82,94.14,135.31,94.49,113.76
Zimbabwe,46.43,44.54,41.12,37.66,43.78
